Time(m),Thermo1, Thermo2, Thermo3
0.00,0.00,0.00,0.00
0.02,0.00,0.00,
0.03,0.00,0.00,
0.05,0.00,0.00,
0.07,0.00,0.00,
0.08,0.00,0.00,0.00
